SKU,QtdEstoque,Local
23977,4,Matriz
23978,47,Matriz
23979,11,Matriz
23980,16,Matriz
23981,1,Matriz
23982,3,Matriz
23983,16,Matriz
23984,6,Matriz
23987,9,Matriz
23988,5,Matriz
23989,5,Matriz
23990,9,Matriz
23991,9,Matriz
23992,6,Matriz
23993,3,Matriz
23994,5,Matriz
23995,4,Matriz
23996,5,Matriz
23997,10,Matriz
23998,2,Matriz
24000,6,Matriz
24001,2,Matriz
24002,1,Matriz
24003,1,Matriz
24004,3,Matriz
24005,2,Matriz
24007,1,Matriz
24008,4,Matriz
24009,1,Matriz
24010,1,Matriz
24011,38,Matriz
24013,1,Matriz
24014,1,Matriz
24016,1,Matriz
24018,4,Matriz
24021,2,Matriz
24022,2,Matriz
24024,1,Matriz
24025,15,Matriz
24027,7,Matriz
24028,2,Matriz
24029,55,Matriz
24030,1,Matriz
24031,41,Matriz
24032,26,Matriz
24033,5,Matriz
24103,6,Matriz
24104,9,Matriz
24105,6,Matriz
24106,13,Matriz
24107,4,Matriz
24109,4,Matriz
24110,11,Matriz
24111,1,Matriz
24113,2,Matriz
24115,3,Matriz
24116,6,Matriz
24117,3,Matriz
24118,6,Matriz
24119,13,Matriz
24120,4,Matriz
24121,2,Matriz
24122,9,Matriz
24123,6,Matriz
24124,12,Matriz
24125,3,Matriz
24126,16,Matriz
24127,10,Matriz
24128,18,Matriz
24129,25,Matriz
24130,35,Matriz
24131,13,Matriz
24134,9,Matriz
24135,3,Matriz
24136,19,Matriz
24137,32,Matriz
24140,3,Matriz
24142,11,Matriz
24143,2,Matriz
24148,5,Matriz
24152,5,Matriz
24153,5,Matriz
24154,5,Matriz
24157,5,Matriz
24158,2,Matriz
24159,28,Matriz
24160,29,Matriz
24163,1,Matriz
24164,19,Matriz
24165,14,Matriz
24167,7,Matriz
24168,6,Matriz
24169,3,Matriz
24171,8,Matriz
24172,30,Matriz
24173,26,Matriz
24174,10,Matriz
24175,2,Matriz
24176,11,Matriz
24177,18,Matriz
24178,16,Matriz
24179,20,Matriz
24180,20,Matriz
24188,9,Matriz
24200,1,Matriz
24220,1,Matriz
24222,2,Matriz
24234,1,Matriz
24238,1,Matriz
24324,44,Matriz
24325,60,Matriz
24326,35,Matriz
24327,2,Matriz
24329,2,Matriz
24330,3,Matriz
24344,1,Matriz
24387,25,Matriz
24401,25,Matriz
24412,2,Matriz
24413,9,Matriz
24415,4,Matriz
24416,9,Matriz
24417,9,Matriz
24418,1,Matriz
24421,3,Matriz
24423,3,Matriz
24426,7,Matriz
24427,2,Matriz
24428,8,Matriz
24429,2,Matriz
24430,3,Matriz
24431,3,Matriz
24432,5,Matriz
24433,1,Matriz
24434,5,Matriz
24435,2,Matriz
24436,10,Matriz
24437,5,Matriz
24438,10,Matriz
24439,35,Matriz
24442,5,Matriz
24445,3,Matriz
24446,30,Matriz
24447,30,Matriz
24448,3,Matriz
24449,12,Matriz
24450,11,Matriz
24451,5,Matriz
24453,2,Matriz
24454,28,Matriz
24455,17,Matriz
24534,6,Matriz
24579,7,Matriz
24580,1,Matriz
24583,3,Matriz
24584,2,Matriz
24585,1,Matriz
24586,24,Matriz
24587,27,Matriz
24588,22,Matriz
24589,28,Matriz
24590,12,Matriz
24591,18,Matriz
24592,26,Matriz
24593,44,Matriz
24594,44,Matriz
24595,28,Matriz
24596,6,Matriz
24597,1,Matriz
24598,4,Matriz
24599,1,Matriz
24603,2,Matriz
24604,3,Matriz
24605,3,Matriz
24606,1,Matriz
24608,4,Matriz
24610,5,Matriz
24612,5,Matriz
24613,1,Matriz
24614,9,Matriz
24615,1,Matriz
24616,6,Matriz
24617,2,Matriz
24618,3,Matriz
24619,1,Matriz
24620,2,Matriz
24621,1,Matriz
24622,1,Matriz
24623,1,Matriz
24625,1,Matriz
24630,1,Matriz
24631,1,Matriz
24634,1,Matriz
24635,3,Matriz
24653,1,Matriz
24682,32,Matriz
24690,6,Matriz
24693,2,Matriz
24730,1,Matriz
24739,34,Matriz
24757,2,Matriz
24765,2,Matriz
24768,2,Matriz
24806,2,Matriz
24808,7,Matriz
24809,42,Matriz
24811,22,Matriz
24812,33,Matriz
24814,5,Matriz
24875,1,Matriz
24877,1,Matriz
24882,1,Matriz
24883,2,Matriz
24886,1,Matriz
24887,4,Matriz
24888,2,Matriz
24889,2,Matriz
24891,1,Matriz
24894,1,Matriz
24899,3,Matriz
24901,1,Matriz
24923,33,Matriz
24924,18,Matriz
24926,9,Matriz
24935,10,Matriz
24947,10,Matriz
24948,10,Matriz
24949,10,Matriz
24950,10,Matriz
24962,8,Matriz
24963,10,Matriz
24977,1,Matriz
24982,31,Matriz
24985,15,Matriz
24987,50,Matriz
24988,10,Matriz
25007,19,Matriz
25008,11,Matriz
25009,9,Matriz
25010,10,Matriz
25011,17,Matriz
25012,19,Matriz
25013,6,Matriz
25014,2,Matriz
25104,17,Matriz
25176,1,Matriz
25177,1,Matriz
25178,13,Matriz
25228,22,Matriz
25232,1,Matriz
25238,7,Matriz
25247,10,Matriz
25248,3,Matriz
25259,5,Matriz
25260,2,Matriz
25261,3,Matriz
25263,1,Matriz
25266,1,Matriz
25288,1,Matriz
25289,1,Matriz
25368,8,Matriz
25370,13,Matriz
25371,1,Matriz
25373,21,Matriz
25378,2,Matriz
25414,2,Matriz
25415,1,Matriz
25418,6,Matriz
25419,11,Matriz
25420,5,Matriz
25424,1,Matriz
25426,7,Matriz
25428,2,Matriz
25429,2,Matriz
25430,13,Matriz
25432,2,Matriz
25433,1,Matriz
25435,2,Matriz
25437,6,Matriz
25438,4,Matriz
25439,5,Matriz
25440,4,Matriz
25441,2,Matriz
25444,2,Matriz
25445,8,Matriz
25447,4,Matriz
25448,3,Matriz
25450,12,Matriz
25451,2,Matriz
25487,1,Matriz
25490,6,Matriz
25492,1,Matriz
25494,1,Matriz
25495,1,Matriz
25499,10,Matriz
25633,6,Matriz
25656,2,Matriz
25671,2,Matriz
25718,26,Matriz
25719,27,Matriz
25720,36,Matriz
25721,32,Matriz
25722,9,Matriz
25723,7,Matriz
25726,1,Matriz
25729,2,Matriz
25730,1,Matriz
25732,4,Matriz
25733,2,Matriz
25734,1,Matriz
25735,1,Matriz
25736,6,Matriz
25738,1,Matriz
25739,2,Matriz
25741,5,Matriz
25743,2,Matriz
25744,2,Matriz
25745,5,Matriz
25747,5,Matriz
25748,7,Matriz
25749,2,Matriz
25751,1,Matriz
25752,4,Matriz
25753,2,Matriz
25756,5,Matriz
25757,5,Matriz
25796,2,Matriz
25797,6,Matriz
25801,15,Matriz
25808,4,Matriz
25810,1,Matriz
25814,4,Matriz
25815,19,Matriz
25816,2,Matriz
25817,2,Matriz
25818,1,Matriz
25819,13,Matriz
25831,3,Matriz
25838,5,Matriz
25840,24,Matriz
25841,15,Matriz
25842,4,Matriz
25843,10,Matriz
25845,10,Matriz
25846,5,Matriz
25849,8,Matriz
25853,10,Matriz
25854,9,Matriz
25855,8,Matriz
25856,7,Matriz
25857,6,Matriz
25858,7,Matriz
25859,9,Matriz
25860,9,Matriz
25862,1,Matriz
25863,5,Matriz
25864,5,Matriz
25865,10,Matriz
25866,5,Matriz
25867,5,Matriz
25868,3,Matriz
25869,1,Matriz
25872,10,Matriz
25874,5,Matriz
25875,5,Matriz
25876,5,Matriz
25877,5,Matriz
25878,9,Matriz
25880,4,Matriz
25881,5,Matriz
25882,5,Matriz
25883,8,Matriz
26056,1,Matriz
26057,3,Matriz
26071,10,Matriz
26092,5,Matriz
26093,11,Matriz
26094,4,Matriz
26131,2,Matriz
26132,2,Matriz
26139,18,Matriz
26140,1,Matriz
26161,10,Matriz
26175,1,Matriz
26178,17,Matriz
26179,7,Matriz
26181,1,Matriz
26184,2,Matriz
26190,33,Matriz
26202,2,Matriz
26203,4,Matriz
26204,2,Matriz
26205,7,Matriz
26206,2,Matriz
26207,10,Matriz
26208,22,Matriz
26209,1,Matriz
26210,1,Matriz
26212,1,Matriz
26213,11,Matriz
26214,5,Matriz
26215,8,Matriz
26216,7,Matriz
26217,2,Matriz
26218,3,Matriz
26219,9,Matriz
26220,7,Matriz
26221,3,Matriz
26243,2,Matriz
26258,3,Matriz
26268,6,Matriz
26269,13,Matriz
26270,17,Matriz
26366,2,Matriz
26369,2,Matriz
26371,1,Matriz
26374,1,Matriz
26375,9,Matriz
26376,7,Matriz
26377,5,Matriz
26378,1,Matriz
26380,4,Matriz
26381,5,Matriz
26382,14,Matriz
26383,14,Matriz
26384,32,Matriz
26385,21,Matriz
26386,27,Matriz
26387,30,Matriz
26400,1,Matriz
26401,5,Matriz
26403,4,Matriz
26404,7,Matriz
26405,1,Matriz
26406,10,Matriz
26407,8,Matriz
26408,7,Matriz
26409,10,Matriz
26410,6,Matriz
26411,3,Matriz
26412,1,Matriz
26450,1,Matriz
26598,2,Matriz
26600,3,Matriz
26601,6,Matriz
26692,3,Matriz
26721,1,Matriz
26722,8,Matriz
26723,2,Matriz
26737,10,Matriz
26738,1,Matriz
26746,1,Matriz
26757,1,Matriz
26758,2,Matriz
26759,3,Matriz
26760,1,Matriz
26762,2,Matriz
26767,5,Matriz
26768,3,Matriz
26769,2,Matriz
26815,10,Matriz
26842,1,Matriz
26843,6,Matriz
26845,2,Matriz
26923,7,Matriz
26931,6,Matriz
26932,27,Matriz
26934,31,Matriz
26935,16,Matriz
26936,18,Matriz
26938,31,Matriz
26940,38,Matriz
26942,37,Matriz
26944,2,Matriz
26946,1,Matriz
26951,4,Matriz
26957,1,Matriz
26959,1,Matriz
26960,1,Matriz
26979,2,Matriz
27003,1,Matriz
27013,4,Matriz
27027,9,Matriz
27028,2,Matriz
27029,1,Matriz
27030,3,Matriz
27031,4,Matriz
27032,2,Matriz
27055,1,Matriz
27056,6,Matriz
27057,9,Matriz
27058,2,Matriz
27059,2,Matriz
27060,4,Matriz
27061,13,Matriz
27062,3,Matriz
27063,5,Matriz
27064,2,Matriz
27065,13,Matriz
27066,6,Matriz
27067,10,Matriz
27068,8,Matriz
27070,3,Matriz
27071,13,Matriz
27072,8,Matriz
27082,3,Matriz
27097,4,Matriz
27098,2,Matriz
27109,16,Matriz
27110,12,Matriz
27111,16,Matriz
27112,4,Matriz
27113,1,Matriz
27114,2,Matriz
27115,10,Matriz
27116,4,Matriz
27125,11,Matriz
27130,1,Matriz
27131,1,Matriz
27133,6,Matriz
27184,11,Matriz
27188,21,Matriz
27189,1,Matriz
27190,4,Matriz
27191,5,Matriz
27193,2,Matriz
27212,1,Matriz
27219,10,Matriz
27231,1,Matriz
27233,2,Matriz
27238,6,Matriz
27251,3,Matriz
27252,2,Matriz
27253,7,Matriz
27254,7,Matriz
27256,3,Matriz
27257,2,Matriz
27258,5,Matriz
27259,2,Matriz
27260,1,Matriz
27262,3,Matriz
27263,1,Matriz
27273,1,Matriz
27274,4,Matriz
27275,1,Matriz
27276,1,Matriz
27277,2,Matriz
27278,4,Matriz
27279,3,Matriz
27280,3,Matriz
27281,1,Matriz
27282,6,Matriz
27284,4,Matriz
27285,1,Matriz
27286,1,Matriz
27449,4,Matriz
27491,5,Matriz
27496,1,Matriz
27497,2,Matriz
27498,3,Matriz
27511,1,Matriz
27532,1,Matriz
27533,1,Matriz
27534,2,Matriz
27536,6,Matriz
27538,1,Matriz
27548,1,Matriz
27634,3,Matriz
27635,5,Matriz
27636,5,Matriz
27662,3,Matriz
27673,2,Matriz
27715,11,Matriz
27716,1,Matriz
27717,11,Matriz
27718,4,Matriz
27746,1,Matriz
27768,3,Matriz
27769,3,Matriz
27770,3,Matriz
27771,3,Matriz
27772,2,Matriz
27779,1,Matriz
27782,1,Matriz
27783,3,Matriz
27784,1,Matriz
27785,1,Matriz
27786,3,Matriz
27795,1,Matriz
27804,1,Matriz
27812,1,Matriz
27814,1,Matriz
27818,7,Matriz
27821,2,Matriz
27826,1,Matriz
27834,1,Matriz
27835,1,Matriz
27836,4,Matriz
27837,1,Matriz
27838,1,Matriz
27938,3,Matriz
27951,7,Matriz
28040,1,Matriz
28098,10,Matriz
28101,1,Matriz
28457,1,Matriz
28695,1,Matriz
28729,9,Matriz
28817,2,Matriz
28818,2,Matriz
28819,2,Matriz
28821,1,Matriz
28823,7,Matriz
28824,7,Matriz
28825,7,Matriz
28826,7,Matriz
28827,8,Matriz
28828,7,Matriz
28837,1,Matriz
28838,1,Matriz
