SKU,DataCadastroSistema,Categoria,DescricaoProduto,MarcaAparelho,Origem,PrecoVenda
25,2011-02-18,Sem Categoria,Carcaça Frente e Fundo 83XX - Branca,Android,Estrangeira - Importação direta,100
26,2011-02-18,Sem Categoria,Película 8900,Android,Estrangeira - Importação direta,40
28,2011-02-18,Sem Categoria,Película Storm 9500 - 9520,Android,Estrangeira - Importação direta,40
29,2011-02-18,Sem Categoria,Fundo Bold 9000,Android,Estrangeira - Importação direta,200
30,2011-02-18,Sem Categoria,Bateria Azul - 83XX 8520 8700 9300,Android,Estrangeira - Importação direta,100
31,2011-02-18,Sem Categoria,Bateria 8900 / 9500 / 9530 Storm,Android,Estrangeira - Importação direta,180
32,2011-02-18,Sem Categoria,Bateria Bold 9000 / 9700,Android,Estrangeira - Importação direta,180
33,2011-02-18,Sem Categoria,Carregador Veicular Grosso 83xx Bold 9000,Android,Estrangeira - Importação direta,55
34,2011-02-18,Capas,Capa Couro Horizontal Bold 9000/8900/83xx/8520,Android,Estrangeira - Importação direta,75
35,2011-02-18,Capas,Capa Couro Horizontal 8900,Android,Estrangeira - Importação direta,75
36,2011-02-18,Capas,Capa Couro Horizontal 9500 / 9520 / 9550 Storm,Android,Estrangeira - Importação direta,50
37,2011-02-18,Capas,Circular Rosa,Android,Estrangeira - Importação direta,60
38,2011-02-18,Capas,Capa Couro Vertical Bold 9000,Android,Estrangeira - Importação direta,75
39,2011-02-18,Capas,Xadrex Transparente,Android,Estrangeira - Importação direta,0
40,2011-02-18,Capas,Capa Couro Vertical 83xx;,Android,Estrangeira - Importação direta,75
41,2011-02-18,Capas,Hello Kitty Rosinha,Android,Estrangeira - Importação direta,0
42,2011-02-18,Capas,Capa Couro Vertical 8900 / 8520 / 9000 / 83xx,Android,Estrangeira - Importação direta,50
43,2011-02-18,Capas,Pneu Preto 3G/s,Android,Estrangeira - Importação direta,45
44,2011-02-18,Capas,Capa Silicone Preta Storm 9520 /9550,Android,Estrangeira - Importação direta,50
45,2011-02-18,Capas,Pneu Transparente,Android,Estrangeira - Importação direta,99
46,2011-02-18,Sem Categoria,Trackpad 8520,Android,Estrangeira - Importação direta,200
47,2011-02-18,Capas,Couro Vertical Preta,Android,Estrangeira - Importação direta,70
48,2011-02-18,Capas,Capa Silicone Roxa 8900,Android,Estrangeira - Importação direta,55
49,2011-02-18,Capas,Couro Horizontal Preto 3G/s,Android,Estrangeira - Importação direta,70
50,2011-02-18,Capas,Capa Silicone Vermelha 8900,Android,Estrangeira - Importação direta,55
51,2011-02-18,Capas,Capa Silicone Transparente 8900,Android,Estrangeira - Importação direta,50
52,2011-02-18,Capas,Silicone Preta,Android,Estrangeira - Importação direta,0
53,2011-02-18,Capas,Capa Silicone 83xx - Preta,Android,Estrangeira - Importação direta,50
55,2011-02-18,Sem Categoria,Carregador Parede Grosso 83xx Bold 9000,Android,Estrangeira - Importação direta,75
56,2011-02-18,Sem Categoria,Capa iPhone 3G/s Fundo Acrilico Transparente fume,Apple,Estrangeira - Importação direta,55
57,2011-02-18,Sem Categoria,Carregador de parede Fino 8520 / 9700 / Storm 95xx / Torch 9800,Android,Estrangeira - Importação direta,75
59,2011-02-18,Inativos,Carregador Veicular Curve Fino 82xx / 8520 / 9700 Bold 2 / 95xx Storm / Torch 9800,Android,Estrangeira - Importação direta,55
61,2011-02-18,Sem Categoria,Fone de Ouvido Blackberry Fino,Android,Estrangeira - Importação direta,50
63,2011-02-18,Inativos,Cabo USB Duas Saídas,Android,Estrangeira - Importação direta,50
64,2011-02-18,Sem Categoria,Capa iPhone 3G/s Fundo Preto sem Logo Vasada,Apple,Estrangeira - Importação direta,60
65,2011-02-18,Capas,Capa Silicone Rosa 9700,Android,Estrangeira - Importação direta,50
67,2011-02-18,Sem Categoria,Capa Hello Kitty Coracao Preto OU Branca,Android,Estrangeira - Importação direta,60
68,2011-02-18,Capas,Capa Couro sem Sensor,Android,Estrangeira - Importação direta,75
69,2011-02-18,Capas,Capa Couro com Sensor,Android,Estrangeira - Importação direta,75
71,2011-02-18,Sem Categoria,Aro Preto Bold 9000,Android,Estrangeira - Importação direta,100
73,2011-02-18,Sem Categoria,LCD 9700 /002-111,Android,Estrangeira - Importação direta,300
74,2011-02-18,Sem Categoria,Capa iPhone 2G Silicone Transparente,Apple,Estrangeira - Importação direta,45
75,2011-02-18,Sem Categoria,LCD 8900,Android,Estrangeira - Importação direta,250
77,2011-02-18,Sem Categoria,LCD Bold 9000 / 001-004,Android,Estrangeira - Importação direta,250
78,2011-02-18,Sem Categoria,Fundo Bold 9700,Android,Estrangeira - Importação direta,100
79,2011-02-18,Capas VX Case,Capa Emborrachada VX Case iPhone 3G/S - Preta Fosca,Apple,Estrangeira - Importação direta,10
80,2011-02-18,Capas,Capa Silicone Transparente 9700 Bold 2,Android,Estrangeira - Importação direta,55
81,2011-02-18,Capas VX Case,Capa Emborrachada VX Case iPhone 3G/s - Vermelha Fosca,Apple,Estrangeira - Importação direta,10
82,2011-02-18,Sem Categoria,Carcaça Branca Bold 9000 S/trackball,Android,Estrangeira - Importação direta,250
83,2011-02-18,Capas VX Case,Capa Emborrachada VX Case iPhone 3G/s - Lilas Fosca,Apple,Estrangeira - Importação direta,10
86,2011-02-18,Sem Categoria,Película 8520 Brilhante,Android,Estrangeira - Importação direta,40
87,2011-02-18,Capas VX Case,Capa Envernizada VX Case iPhone 3G/s - Dourada,Apple,Estrangeira - Importação direta,70
88,2011-02-18,Capas,Capa Silicone Lisa para 8520 8530 9300 (Preta),Android,Estrangeira - Importação direta,50
89,2011-02-18,Capas,Capa Silicone Branca 8520,Android,Estrangeira - Importação direta,50
90,2011-02-18,Capas,Capa Silicone 83xx - Vermelha,Android,Estrangeira - Importação direta,50
92,2011-02-18,Capas,Capa Silicone 83xx - Transparente,Android,Estrangeira - Importação direta,50
94,2011-02-18,Sem Categoria,LCD e Touch Storm 9530,Android,Estrangeira - Importação direta,250
95,2011-02-18,Sem Categoria,Teclado Storm 9520,Android,Estrangeira - Importação direta,100
97,2011-02-18,Capas,Capa Silicone Storm 9500,Android,Estrangeira - Importação direta,50
99,2011-02-18,Sem Categoria,Aro Storm 9500,Android,Estrangeira - Importação direta,100
101,2011-02-18,Sem Categoria,Teclado Bold 9000,Android,Estrangeira - Importação direta,100
103,2011-02-18,Sem Categoria,Teclado 83xx,Android,Estrangeira - Importação direta,100
104,2011-02-18,Sem Categoria,Fundo 83xx - Preto,Android,Estrangeira - Importação direta,50
105,2011-02-18,Sem Categoria,Teclado 8900,Android,Estrangeira - Importação direta,100
106,2011-02-18,Sem Categoria,Carcaça completa 8520 s/ trackpad,Android,Estrangeira - Importação direta,200
108,2011-02-18,Sem Categoria,Aro Curve 8900,Android,Estrangeira - Importação direta,100
109,2011-02-18,Sem Categoria,Pelicula 9700 Brilhante,Android,Estrangeira - Importação direta,40
110,2011-02-18,Sem Categoria,Pelicula 83xx - Brilhante,Android,Estrangeira - Importação direta,40
111,2011-02-18,Capas,Capa Couro Vertical 9700,Android,Estrangeira - Importação direta,50
112,2011-02-18,Sem Categoria,Trackball Branco,Android,Estrangeira - Importação direta,150
114,2011-02-18,Sem Categoria,Teclado 8520,Android,Estrangeira - Importação direta,100
115,2011-02-18,Sem Categoria,Teclado 9700,Android,Estrangeira - Importação direta,100
116,2011-02-18,Sem Categoria,Capa iPhone 3G/s Hello Kitty Nome Dourado,Apple,Estrangeira - Importação direta,60
117,2011-02-18,Sem Categoria,Conector Grosso Bold 9000,Android,Estrangeira - Importação direta,150
119,2011-02-18,Sem Categoria,Conector Fino 8520/9700/8900/Storm,Android,Estrangeira - Importação direta,150
121,2011-02-18,Sem Categoria,Lcd Bold 9000/002-004,Android,Estrangeira - Importação direta,250
122,2011-02-18,Capas,Capa fundo iPhone 3G/s case cover branca,Apple,Estrangeira - Importação direta,60
123,2011-02-18,Sem Categoria,Lcd Bold 9000/003-004,Android,Estrangeira - Importação direta,250
124,2011-02-18,Capas,Capa iPhone 3G/s case cover fosca azul,Apple,Estrangeira - Importação direta,60
125,2011-02-18,Sem Categoria,Trackpad 9700,Android,Estrangeira - Importação direta,200
126,2011-02-18,Capas,Capa iPhone 3G/s case cover fosca vermelha,Apple,Estrangeira - Importação direta,60
127,2011-02-18,Sem Categoria,Aro Branco Bold 9000,Android,Estrangeira - Importação direta,100
128,2011-02-18,Sem Categoria,Capa case cover listrada branca,Android,Estrangeira - Importação direta,60
129,2011-02-18,Sem Categoria,Carcaça Frente e Fundo 83XX - Marrom,Android,Estrangeira - Importação direta,100
130,2011-02-18,Sem Categoria,Capa iPhone 3G/s Hello kitty branca nome preto,Apple,Estrangeira - Importação direta,60
131,2011-02-18,Sem Categoria,Carcaça Completa (sem Trackball) 83xx - Prata,Android,Estrangeira - Importação direta,150
132,2011-02-18,Sem Categoria,Anjinho azul,Android,Estrangeira - Importação direta,60
133,2011-02-18,Sem Categoria,Fundo e Aro Curve 8900,Android,Estrangeira - Importação direta,150
134,2011-02-18,Sem Categoria,Capa iPhone 3G/s Diabinho preto,Apple,Estrangeira - Importação direta,60
135,2011-02-18,Sem Categoria,Aro do TrackBall,Android,Estrangeira - Importação direta,20
136,2011-02-18,Sem Categoria,Capa iPhone 3G/s Diabinho vermelho,Apple,Estrangeira - Importação direta,60
137,2011-02-18,Sem Categoria,Barra Lateral 83XX,Android,Estrangeira - Importação direta,70
139,2011-02-18,Sem Categoria,Carcaça 9700,Android,Estrangeira - Importação direta,200
140,2011-02-18,Capas,Capa iPhone 3G/s Fundo Lilas,Apple,Estrangeira - Importação direta,60
141,2011-02-18,Sem Categoria,Carcaça Completa Storm 9500,Android,Estrangeira - Importação direta,200
142,2011-02-18,Capas,Capa iPhone 3G/s fundo Rosa,Apple,Estrangeira - Importação direta,60
143,2011-02-18,Sem Categoria,Carcaça Fundo 8900,Android,Estrangeira - Importação direta,100
144,2011-02-18,Capas,Capa iPhone 3G/s fundo azul,Apple,Estrangeira - Importação direta,60
145,2011-02-18,Sem Categoria,Lcd e Touch Storm 9500,Android,Estrangeira - Importação direta,250
147,2011-02-18,Sem Categoria,Fundo Storm,Android,Estrangeira - Importação direta,100
148,2011-02-18,Sem Categoria,Aro Tour 9630,Android,Estrangeira - Importação direta,100
150,2011-02-18,Sem Categoria,Aro Storm 9500/9530,Android,Estrangeira - Importação direta,100
152,2011-02-18,Sem Categoria,Carcaça borracha 83xx,Android,Estrangeira - Importação direta,70
154,2011-02-18,Capas,Capa TPU Circular 83xx - Rosa,Android,Estrangeira - Importação direta,55
156,2011-02-18,Capas,Capa TPU Circular 83xx - Lilás,Android,Estrangeira - Importação direta,55
157,2011-02-18,Sem Categoria,Capa Hello Kitty Preta,Android,Estrangeira - Importação direta,60
158,2011-02-18,Capas,Capa Couro Branca,Android,Estrangeira - Importação direta,75
160,2011-02-18,Capas,Capa Couro Preta,Android,Estrangeira - Importação direta,75
161,2011-02-18,Capas,Capa Couro Preta Reta,Android,Estrangeira - Importação direta,75
162,2011-02-18,Capas,Capa Case Branca Emborrachada,Android,Estrangeira - Importação direta,85
163,2011-02-18,Sem Categoria,Carcaça completa Nextel Vermelha com trackball,Android,Estrangeira - Importação direta,250
165,2011-02-18,Sem Categoria,Carcaça 8100 preta,Android,Estrangeira - Importação direta,200
167,2011-02-18,Caixas de Som,iPig Rosa,Android,Estrangeira - Importação direta,350
168,2011-02-18,Sem Categoria,Mini Speaker Caixa de som,Android,Estrangeira - Importação direta,0
169,2011-02-18,Desbloqueio,Registro iBlackList,Android,Estrangeira - Importação direta,35
170,2011-02-18,Sem Categoria,Suporte plastico iPhone,Apple,Estrangeira - Importação direta,40
171,2011-02-18,Sem Categoria,Capa Tap Tap Couro Marron suporte para cinto,Android,Estrangeira - Importação direta,60
175,2011-02-18,Sem Categoria,Capa iPhone 3G/s curva vermelha,Apple,Estrangeira - Importação direta,60
176,2011-02-18,Sem Categoria,Capa curva branca,Android,Estrangeira - Importação direta,60
177,2011-02-18,Capas VX Case,Capa Emborrachada VX Case iPhone 3G/s - Azul Fosca,Apple,Estrangeira - Importação direta,10
178,2011-02-18,Capas VX Case,Capa Envernizada VX Case iPhone 3G/s - Verde,Apple,Estrangeira - Importação direta,30
179,2011-02-18,Capas VX Case,Capa Envernizada VX Case iPhone 3G/s - Laranja,Apple,Estrangeira - Importação direta,10
180,2011-02-18,Capas VX Case,Capa Envernizada VX Case iPhone 3G/s - Cinza,Apple,Estrangeira - Importação direta,70
182,2011-02-18,Capas,Capa Case iPod Touch Vermelha,Apple,Estrangeira - Importação direta,60
183,2011-02-18,Capas,Capa Case Azul iPod Touch,Apple,Estrangeira - Importação direta,60
184,2011-02-18,Capas,Capa circular para iPod - Preto,Apple,Estrangeira - Importação direta,35
185,2011-02-18,Capas,Capa circular para iPod - Verde,Apple,Estrangeira - Importação direta,35
186,2011-02-18,Capas,Capa circular para iPod - Laranja,Apple,Estrangeira - Importação direta,35
187,2011-02-18,Capas,Capa circular para iPod - Rosa,Apple,Estrangeira - Importação direta,35
189,2011-02-18,Capas,Capa silicone para iPod - Laranja,Apple,Estrangeira - Importação direta,35
190,2011-02-18,Capas,Capa silicone para iPod - Preto,Apple,Estrangeira - Importação direta,35
191,2011-02-18,Capas,Capa silicone para iPod - Vermelha,Apple,Estrangeira - Importação direta,35
192,2011-02-18,Capas,Capa silicone para iPod - Branca,Apple,Estrangeira - Importação direta,35
194,2011-02-18,Sem Categoria,Capa silicone para iPod touch - Vermelha,Apple,Estrangeira - Importação direta,50
195,2011-02-18,Sem Categoria,Capa Circular para iPod touch - Fume,Apple,Estrangeira - Importação direta,50
196,2011-02-18,Sem Categoria,Capa Circular para iPod touch - Lilas,Apple,Estrangeira - Importação direta,50
197,2011-02-18,Sem Categoria,Capa Circular para iPod touch - Rosa,Apple,Estrangeira - Importação direta,50
198,2011-02-18,Sem Categoria,Capa Circular para iPod touch - Verde,Apple,Estrangeira - Importação direta,50
200,2011-02-18,Sem Categoria,Capa Circular para iPod touch Transparente,Apple,Estrangeira - Importação direta,50
201,2011-02-18,Capas,Capa iPhone 4 Acrilico tipo case Branca,Apple,Estrangeira - Importação direta,70
202,2011-02-18,Capas,Capa iPhone 4 Acrilico tipo case Preto,Apple,Estrangeira - Importação direta,70
203,2011-02-18,Capas,Capa de couro iPad 1 com Regulagem de altura,Apple,Estrangeira - Importação direta,120
204,2011-02-18,Sem Categoria,Capa de couro iPad - Fina,Apple,Estrangeira - Importação direta,120
205,2011-02-18,Capas,Capa de couro iPad - Com listra,Apple,Estrangeira - Importação direta,100
206,2011-02-18,Sem Categoria,Capa iPad Silicone,Apple,Estrangeira - Importação direta,100
207,2011-02-18,Capas,Capa silicone preta iPhone 4,Apple,Estrangeira - Importação direta,60
208,2011-02-18,Verificar Produto,Capa iPhone 4 Acrilica vermelha,Apple,Estrangeira - Importação direta,70
209,2011-02-18,Capas,Capa iPhone 4 - Acrilico Transparente,Apple,Estrangeira - Importação direta,70
210,2011-02-18,Capas,Capa iPhone 4 Acrilico Fume,Apple,Estrangeira - Importação direta,70
211,2011-02-18,Capas,Capa TPU Fundo Fosca iPhone 4 - Branca,Apple,Estrangeira - Importação direta,70
212,2011-02-18,Capas,Bumper para iPhone 4 - Branco,Apple,Estrangeira - Importação direta,60
213,2011-02-18,Capas,Crystal Case Cover with Screen Protector Frame for iPhone 4 (Black) - Front and Back,Apple,Estrangeira - Importação direta,0
214,2011-02-18,Capas,Capa iPhone 4 Fundo Ferro Cinza,Apple,Estrangeira - Importação direta,70
215,2011-02-18,Capas,Capa iPhone 4 Fundo Ferro Preto,Apple,Estrangeira - Importação direta,70
216,2011-02-18,Películas,Pelicula iPhone 4 / 4S - Brilhante,Apple,Nacional,40
217,2011-02-18,Películas,Pelicula iPhone 4 / 4S - Fosca,Apple,Estrangeira - Importação direta,40
218,2011-02-18,Películas,Peli­cula iPad - Brilhante,Apple,Nacional,80
219,2011-02-18,Películas,Pelicula iPad - Fosca,Apple,Nacional,80
220,2011-02-18,Capas,Capa TPU Fundo Fosca iPhone 4 - Preta,Apple,Estrangeira - Importação direta,70
221,2011-02-18,Capas,Capa iPhone 4 Fundo Ferro Rosa,Apple,Estrangeira - Importação direta,70
222,2011-02-18,Braçadeiras,Braçadeira para iPhone 3G/s 4,Apple,Nacional,15
223,2011-02-18,Sem Categoria,Bracadeira iPhone 2,Apple,Estrangeira - Importação direta,0
224,2011-02-18,Sem Categoria,Adaptador carregado parede OR Grande,Android,Estrangeira - Importação direta,0
225,2011-02-18,Sem Categoria,Carregador Original Pequeno Adaptador iPhone,Apple,Estrangeira - Importação direta,50
226,2011-02-18,Sem Categoria,Cabo USB,Android,Estrangeira - Importação direta,50
227,2011-02-18,Sem Categoria,Cabo USB GEN,Android,Estrangeira - Importação direta,0
228,2011-02-18,Películas,Pelicula iPhone 3G/S - Brilhante,Apple,Nacional,30
229,2011-02-18,Películas,Pelicula iPhone 3G/S - Fosca,Apple,Estrangeira - Importação direta,30
230,2011-02-18,Películas,Pelicula 2G Brilhante,Android,Estrangeira - Importação direta,0
231,2011-02-18,Sem Categoria,Transmissor FM + Veicular,Android,Estrangeira - Importação direta,0
232,2011-02-18,Inativos,Dock iPhone 3G/s,Apple,Estrangeira - Importação direta,45
233,2011-02-18,Sem Categoria,Suporte + Carreg Veic + Transmissor FM,Android,Estrangeira - Importação direta,0
234,2011-02-18,Sem Categoria,Bateria Externa,Android,Estrangeira - Importação direta,80
235,2011-02-18,Sem Categoria,Fone de Ouvido 3G Original,Android,Estrangeira - Importação direta,60
236,2011-02-18,Sem Categoria,Carregador de Parede GEN,Android,Estrangeira - Importação direta,0
237,2011-02-18,Fones,Fone de Ouvido 3G/S 4/S Original,Android,Estrangeira - Importação direta,80
239,2011-02-18,Sem Categoria,Fone de Ouvido 3G Bited (Somente ML),Android,Estrangeira - Importação direta,25
240,2011-02-18,Sem Categoria,Carregador Veicular Simples,Android,Estrangeira - Importação direta,55
241,2011-02-18,Manutenção Sim Tray,Simtray 3G/s Branco,Android,Estrangeira - Importação direta,50
242,2011-02-18,Manutenção Sim Tray,Simtray 3G/s Preto,Android,Estrangeira - Importação direta,50
243,2011-02-18,Inativos,Sim Tray 2G,Android,Estrangeira - Importação direta,50
244,2011-02-18,Sem Categoria,Ferro / chave para retirar Chip,Android,Nacional,15
245,2011-02-18,Sem Categoria,Caixa de som Bluetooth,Android,Estrangeira - Importação direta,0
246,2011-02-18,Sem Categoria,Caixa de som,Android,Estrangeira - Importação direta,0
247,2011-02-18,Sem Categoria,Kit carregador 3 x 1 - (Somente ML),Android,Estrangeira - Importação direta,0
248,2011-02-18,Sem Categoria,Cabo retrátil,Android,Estrangeira - Importação direta,45
249,2011-02-18,Películas,Pelicula IPOD NANO - Brilhante,Android,Nacional,20
250,2011-02-18,Inativos,Pelicula iPod touch 3 - Fosca,Apple,Estrangeira - Importação direta,35
251,2011-02-18,Sem Categoria,Kit Cabo USB OR Adaptador pequeno,Android,Estrangeira - Importação direta,0
252,2011-02-18,Sem Categoria,Vidro - 2G,Android,Estrangeira - Importação direta,0
253,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3G 8GB - Preto,Apple,Estrangeira - Importação direta,100
254,2011-02-18,Sem Categoria,Vidro - 3G,Android,Estrangeira - Importação direta,0
255,2011-02-18,Manutenção LCD/ Touch,LCD 3G,Android,Estrangeira - Importação direta,100
256,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3Gs 32GB - Preto,Apple,Estrangeira - Importação direta,100
257,2011-02-18,Manutenção LCD/ Touch,LCD 3GS,Android,Estrangeira - Importação direta,100
258,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3Gs 16GB - Preto,Apple,Estrangeira - Importação direta,100
259,2011-02-18,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3G 16GB - Preto,Apple,Estrangeira - Importação direta,100
260,2011-02-18,Inativos,Fundo Branco 8GB - 3G,Android,Estrangeira - Importação direta,100
261,2011-02-18,Manutenção LCD/ Touch,Vidro c/ Touchscreen 3GS,Android,Estrangeira - Importação direta,100
262,2011-02-18,Manutenção Sim Tray,Ejetor do Simtray - 3G/3GS,Android,Estrangeira - Importação direta,100
263,2011-02-18,Sem Categoria,Flex antena Wi-FI - 3G,Android,Estrangeira - Importação direta,120
264,2011-02-18,Sem Categoria,Botão do Power 3G,Android,Estrangeira - Importação direta,200
265,2011-02-18,Sem Categoria,Botão do Power,Android,Estrangeira - Importação direta,120
266,2011-02-18,Sem Categoria,Tecla Vibra - 2G,Android,Estrangeira - Importação direta,120
267,2011-02-18,Manutenção Botão,Botão Vibra Branco - 3G/3GS,Android,Estrangeira - Importação direta,100
268,2011-02-18,Manutenção Botão,Botão Vibra Preto -3G/3GS,Android,Estrangeira - Importação direta,100
269,2011-02-18,Sem Categoria,Botão Volume Preto - 2G,Android,Estrangeira - Importação direta,120
270,2011-02-18,Sem Categoria,Botão Volume Prata - 3G/3GS,Android,Estrangeira - Importação direta,150
271,2011-02-18,Inativos,Adaptador para Fone 2G,Android,Estrangeira - Importação direta,30
272,2011-02-18,Sem Categoria,,Android,Estrangeira - Importação direta,0
273,2011-02-18,Manutenção Conector,Kit Conector / Speaker - 3GS,Android,Estrangeira - Importação direta,100
274,2011-02-18,Sem Categoria,Bateria para 2G,Android,Estrangeira - Importação direta,0
276,2011-02-18,Inativos,Alto Falante,Android,Estrangeira - Importação direta,100
277,2011-02-18,Sem Categoria,Flex Conector - 2G,Android,Estrangeira - Importação direta,120
278,2011-02-18,Sem Categoria,Campainha - 2G,Android,Estrangeira - Importação direta,120
279,2011-02-18,Sem Categoria,Microfone - 2G,Android,Estrangeira - Importação direta,120
280,2011-02-18,Sem Categoria,Flex Conector - 3G,Android,Estrangeira - Importação direta,120
281,2011-02-18,Manutenção Vibra / Volume / Power,"Cabo flex (power, vibra e volume) 3G/s",Android,Estrangeira - Importação direta,100
282,2011-02-18,Sem Categoria,Antena Wi-fi - 2G,Android,Estrangeira - Importação direta,120
284,2011-02-18,Manutenção Speaker,Tela de Proteção Speaker e Microfone,Android,Estrangeira - Importação direta,50
285,2011-02-18,Sem Categoria,Protecao do Fone,Android,Estrangeira - Importação direta,180
287,2011-02-18,Sem Categoria,Microfone - 3G,Android,Estrangeira - Importação direta,120
288,2011-02-18,Inativos,Leitor do Chip 3G,Android,Estrangeira - Importação direta,70
289,2011-02-18,Manutenção Conector,Conector Speaker iPhone 3G,Apple,Estrangeira - Importação direta,70
290,2011-02-18,Sem Categoria,Câmera - 2G,Android,Estrangeira - Importação direta,120
292,2011-02-18,Sem Categoria,Flex Sensor 2G,Android,Estrangeira - Importação direta,150
293,2011-02-18,Sem Categoria,Tecla Home - 2G,Android,Estrangeira - Importação direta,120
294,2011-02-18,Manutenção Botão,Tecla do home 3G/3GS,Android,Estrangeira - Importação direta,50
295,2011-02-18,Sem Categoria,"Cabo flex (power, vibra e volume)",Android,Estrangeira - Importação direta,120
296,2011-02-18,Sem Categoria,Aro 2G,Android,Estrangeira - Importação direta,120
297,2011-02-18,Sem Categoria,Botão Home- 3G,Android,Estrangeira - Importação direta,120
298,2011-02-18,Manutenção Flex do Home,Flex do home 3G/3GS,Android,Estrangeira - Importação direta,100
299,2011-02-18,Sem Categoria,iPhone Universal Activation Card,Apple,Estrangeira - Importação direta,30
300,2011-02-18,Sem Categoria,Adaptador Chip,Android,Estrangeira - Importação direta,20
301,2011-02-18,Manutenção Conector,Conector de Carga iPhone 4 - Branco,Apple,Estrangeira - Importação direta,400
303,2011-02-18,Sem Categoria,Bateria - 3G,Android,Estrangeira - Importação direta,150
304,2011-02-18,Sem Categoria,Adesivo,Android,Estrangeira - Importação direta,0
305,2011-02-18,Inativos,Fundo Branco 16GB - 3G,Android,Estrangeira - Importação direta,100
306,2011-02-18,Sem Categoria,Suporte de Carro,Android,Estrangeira - Importação direta,80
307,2011-02-18,Desbloqueio,Desbloqueio via Software,Android,Estrangeira - Importação direta,110
308,2011-02-18,Desbloqueio,Desbloqueio Oficial Nacional,Android,Estrangeira - Importação direta,150
309,2011-02-18,Desbloqueio,Atualização iPhone  Cydia,Apple,Estrangeira - Importação direta,100
310,2011-02-18,Sem Categoria,Guia de Atualização,Android,Estrangeira - Importação direta,0
311,2011-02-18,Manutenção LCD/ Touch,Vidro Touchscreen iPhone 3G,Apple,Estrangeira - Importação direta,100
312,2011-02-18,Sem Categoria,LCD BlackBerry 8520-007/111,Android,Estrangeira - Importação direta,200
313,2011-02-18,Manutenção Flex do Fone,Flex Volume/P2 - iPhone 4,Apple,Estrangeira - Importação direta,80
315,2011-02-18,Capas,Capa iPhone 4 Acrilica TPU,Apple,Estrangeira - Importação direta,70
316,2011-02-18,Capas,Capa Silicone iPhone 4,Apple,Estrangeira - Importação direta,70
317,2011-02-18,Capas,Capa iPhone 4 Espiral Preta,Apple,Estrangeira - Importação direta,70
318,2011-02-18,Capas,Capa iPhone 4 Campo Minado Branca / Preta,Apple,Estrangeira - Importação direta,70
319,2011-02-18,Capas,Capa iPhone 4 Campo Minado Branca,Apple,Estrangeira - Importação direta,70
320,2011-02-18,Sem Categoria,Carregador Parede iPhone Generico,Apple,Estrangeira - Importação direta,40
